aqs id,Date_local,latitude_x,longitude_x,Avg temp Centrigrade,sunshine minutes,pm2.5_conc
01-073-0023,4/12/2019,33.553056,-86.815,22.3,,7.883333
01-073-0023,4/15/2019,33.553056,-86.815,12.1,,6.941667
01-073-0023,4/18/2019,33.553056,-86.815,21.9,,9.120833
01-073-0023,4/21/2019,33.553056,-86.815,13.9,,10.0875
01-073-0023,4/24/2019,33.553056,-86.815,21.5,,15.095652
01-073-0023,4/27/2019,33.553056,-86.815,17,,11.416667
01-073-0023,4/30/2019,33.553056,-86.815,22.7,,17.966667
01-073-0023,5/6/2019,33.553056,-86.815,19.9,,9.795833
01-073-0023,5/9/2019,33.553056,-86.815,22.7,,6.875
01-073-0023,5/12/2019,33.553056,-86.815,20.7,,4.766667
01-073-0023,5/15/2019,33.553056,-86.815,18.3,,16.4875
01-073-0023,5/18/2019,33.553056,-86.815,24.8,,14.008333
01-073-0023,5/21/2019,33.553056,-86.815,25.9,,13.108333
01-073-0023,5/24/2019,33.553056,-86.815,26.9,,18.395833
01-073-0023,5/27/2019,33.553056,-86.815,28.1,,21.4625
01-073-0023,5/30/2019,33.553056,-86.815,27,,13.280952
01-073-0023,6/5/2019,33.553056,-86.815,27.4,,17.775
01-073-0023,6/8/2019,33.553056,-86.815,24.5,,6.475
01-073-0023,6/11/2019,33.553056,-86.815,23,,6.408333
01-073-0023,6/14/2019,33.553056,-86.815,21.8,,11.666667
01-073-0023,6/17/2019,33.553056,-86.815,27,,7.6
01-073-0023,6/20/2019,33.553056,-86.815,27.2,,6.620833
01-073-0023,6/23/2019,33.553056,-86.815,25.4,,15.208333
01-073-0023,6/26/2019,33.553056,-86.815,27,,11.120833
01-073-0023,6/29/2019,33.553056,-86.815,25.8,,10.470833
01-073-0023,7/2/2019,33.553056,-86.815,29.7,,13.654167
01-073-0023,7/5/2019,33.553056,-86.815,29.5,,15.1875
01-073-0023,7/8/2019,33.553056,-86.815,27,,8.808333
01-073-0023,7/11/2019,33.553056,-86.815,29,,9.795833
01-073-0023,7/14/2019,33.553056,-86.815,27,,11.666667
01-073-0023,7/17/2019,33.553056,-86.815,28.1,,10.579167
01-073-0023,7/20/2019,33.553056,-86.815,26.4,,5.929167
01-073-0023,7/23/2019,33.553056,-86.815,25.8,,6.333333
01-073-0023,7/26/2019,33.553056,-86.815,26.2,,15.304167
01-073-0023,7/29/2019,33.553056,-86.815,27.9,,18.766667
01-073-0023,8/1/2019,33.553056,-86.815,25.4,,13.383333
01-073-0023,8/4/2019,33.553056,-86.815,25.9,,8.895833
01-073-0023,8/7/2019,33.553056,-86.815,28.8,,14.2
01-073-0023,8/10/2019,33.553056,-86.815,27.8,,8.575
01-073-0023,8/13/2019,33.553056,-86.815,31.5,,12.920833
01-073-0023,8/16/2019,33.553056,-86.815,28.2,,7.8375
01-073-0023,8/19/2019,33.553056,-86.815,30.2,,12.695833
01-073-0023,8/22/2019,33.553056,-86.815,27,,14.775
01-073-0023,8/25/2019,33.553056,-86.815,25,,6.558333
01-073-0023,8/28/2019,33.553056,-86.815,25.9,,7.304167
01-073-0023,8/31/2019,33.553056,-86.815,26.8,,12.404167
01-073-0023,9/3/2019,33.553056,-86.815,27.7,,12.708333
01-073-0023,9/6/2019,33.553056,-86.815,24.8,,8.770833
01-073-0023,9/9/2019,33.553056,-86.815,27.8,,16.965217
01-073-0023,9/12/2019,33.553056,-86.815,28.2,,16.925
01-073-0023,9/15/2019,33.553056,-86.815,28.3,,15.166667
01-073-0023,9/18/2019,33.553056,-86.815,29.2,,17.5625
01-073-0023,9/21/2019,33.553056,-86.815,25.4,,8.575
01-073-0023,9/24/2019,33.553056,-86.815,28,,9.0625
